,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
40,2922,69,,,,2,2,0.0,0.0,1.0,0.0,,0.0-66.0,,0.0,1217.31,0.0,0.695950925,1.0,0.51509141,0.0,0.33377865,0.0,0.6342836820000001,True,,5c94ee77c70dc500019c7f0f,,962749,69,,evan-feature22,,1
41,2923,70,,,,1,1,1.0,1.0,1.0,0.0,,0.0-67.0,,1.0,895.115,1.0,0.726659747,1.0,0.48346054200000005,0.0,0.402086283,0.0,0.581694384,True,,5c94ee77c70dc500019c7f0f,,973428,70,,evan-feature22,,1
42,2924,71,,,,2,2,0.0,0.0,0.0,-1.0,,0.0-68.0,,0.0,875.38,1.0,0.705913111,0.0,0.537600217,0.0,0.448943518,0.0,0.5952173510000001,True,,5c94ee77c70dc500019c7f0f,,984080,71,,evan-feature22,,1
43,2925,72,,,,1,1,0.0,0.0,0.0,-1.0,,0.0-69.0,,0.0,420.095,0.0,0.7562677179999999,0.0,0.559166276,1.0,0.5101973670000001,0.0,0.561023256,True,,5c94ee77c70dc500019c7f0f,,994266,72,,evan-feature22,,1
44,2926,73,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-70.0,,-1.0,2261.945,1.0,0.7109076440000001,0.0,0.613388908,0.0,0.45078569399999996,1.0,0.6265858,True,,5c94ee77c70dc500019c7f0f,,1006310,73,,evan-feature22,,1
45,2927,74,,,,1,1,0.0,1.0,1.0,0.0,,0.0-71.0,,0.0,2391.875,0.0,0.7517263059999999,1.0,0.575132706,1.0,0.43515056,1.0,0.63871568,True,,5c94ee77c70dc500019c7f0f,,1018492,74,,evan-feature22,,1
46,2928,75,,,,2,2,0.0,0.0,1.0,0.0,,0.0-72.0,,0.0,172.525,0.0,0.757179437,1.0,0.593620551,0.0,0.454073093,0.0,0.626973291,True,,5c94ee77c70dc500019c7f0f,,1028454,75,,evan-feature22,,1
47,2929,76,,,,1,1,1.0,1.0,1.0,0.0,,0.0-73.0,,1.0,400.115,1.0,0.748038451,1.0,0.6098695,0.0,0.38327690299999995,0.0,0.684561392,True,,5c94ee77c70dc500019c7f0f,,1038644,76,,evan-feature22,,1
48,2930,77,,,,2,2,0.0,1.0,1.0,0.0,,0.0-74.0,,0.0,598.565,1.0,0.6785645929999999,1.0,0.6116548479999999,0.0,0.45625733799999996,1.0,0.619523947,True,,5c94ee77c70dc500019c7f0f,,1049026,77,,evan-feature22,,1
49,2931,78,,,,1,1,1.0,1.0,1.0,0.0,,0.0-75.0,,1.0,688.585,1.0,0.624895127,1.0,0.619112572,0.0,0.534506586,0.0,0.6286811,True,,5c94ee77c70dc500019c7f0f,,1059497,78,,evan-feature22,,1
50,2932,79,,,,2,2,0.0,1.0,0.0,-1.0,,0.0-76.0,,-1.0,656.275,0.0,0.626598995,0.0,0.561681832,0.0,0.5338345529999999,1.0,0.699225106,True,,5c94ee77c70dc500019c7f0f,,1069940,79,,evan-feature22,,1
